hrNo,hrName,birthday,sex,faHrNo,faHrName,moHrNo,moHrName,damsireNo,damsireName,src
0054421,누리퀸즈,20230430,암,0040246,지롤라모,0036659,아이즈온에디,,,API8_2
0060775,누리한빛,20230415,암,0026213,지금이순간,0029549,터프한걸,,,API8_2
0055347,누벨당스,20240317,수,6130196,MAXIMUS MISCHIEF,0054941,립스틱,,,API8_2
0054310,눈꽃,20230513,암,7000060,나이트러스,0037888,레이즈미업,,,API8_2
0062988,눈부신미래,20240120,암,6115828,BUCCHERO,7015524,MISS ELLE DEE KAY,,,API8_2
0053337,눈이올까요,20230307,수,0040246,지롤라모,0038346,토츠어돕스,,,API8_2
0054036,뉴돌콩,20210326,수,6115682,ACCELERATE,6127602,SWEAR BY IT,,,API8_2
0055301,뉴발삭스,20240306,수,0038387,콩코드포인트,0052757,뮈직,,,API8_2
0046189,늘가을,20200427,거,0039750,퍼지,0035795,허리케인드림,,,API8_2
0053964,능력도령,20230330,거,7000060,나이트러스,0037001,능력시대,,,API8_2
0057320,니케모이라,20240303,암,0036732,머스킷맨,0032759,한라축제,,,API8_2
0055954,닉스야라,20240324,암,0041819,닉스고,0054646,야라,,,API8_2
0055507,닉스피드,20240302,수,0041819,닉스고,0054526,플로랄에센스,,,API8_2
0053798,닌자타이거,20230423,암,0046317,레이스데이,0023903,파워팩,,,API8_2
0053576,다나은루비,20230321,암,0039216,킹삭스,0034539,대압승,,,API8_2
0053591,다나은리치,20230328,암,0038391,카우보이칼,0030243,스페셜킹덤,,,API8_2
0053213,다나은스타,20230221,수,0039737,어플릿익스프레스,0038962,사사,,,API8_2
0055551,다나은퀸,20240221,암,0045049,프리덤차일드,0041873,마야엘리자베스,,,API8_2
0051146,다나은킹덤,20220320,거,0038387,콩코드포인트,0030243,스페셜킹덤,,,API8_2
0056142,다나은파워,20240417,수,7000060,나이트러스,0030708,투어캠프,,,API8_2
0053412,다르리여왕,20230309,암,0041566,투아너앤드서브,0039979,블루엠파이어,,,API8_2
0057480,다온헌터,20240413,거,0039737,어플릿익스프레스,0040216,가온퀸,,,API8_2
0046566,다이나믹송,20210306,암,0034835,티즈원더풀,0031281,다이나믹바비,,,API8_2
